,Gender,Age_Group,Race_or_Ethnicity,Education,Observed_Rate,Ideal_Rate,LogDisparity,user_n,pValue,BH_p
56,NA,NA,Hispanic,Some college/TS,0.037044968,0.02803236,0.288088754,346,1.31E-07,1.49E-07
57,NA,NA,Hispanic,>=College grad,0.042933619,0.014027648,1.148380493,401,1.00E-124,4.17E-124
58,NA,NA,NH Asian,<HSG,0,0.010806738,#NAME?,0,#NAME?,#NAME?
59,NA,NA,NH Asian,HSG/GED,0.000535332,0.006133302,-2.444218363,5,4.23E-12,5.28E-12
60,NA,NA,NH Asian,Some college/TS,0.001391863,0.007700758,-1.717013341,13,3.06E-12,4.03E-12
61,NA,NA,NH Asian,>=College grad,0.006531049,0.016928539,-0.962954283,61,6.74E-15,9.91E-15
62,NA,NA,NH Black,<HSG,0.006745182,0.02939915,-1.495209219,63,2.04E-38,3.40E-38
63,NA,NA,NH Black,HSG/GED,0.063062099,0.03448316,0.633695387,589,9.25E-52,1.93E-51
64,NA,NA,NH Black,Some college/TS,0.159421842,0.050880252,1.263523935,1489,0,0
65,NA,NA,NH Black,>=College grad,0.07130621,0.026365939,1.042166896,666,8.03E-162,5.02E-161
66,NA,NA,NH White,<HSG,0.004603854,0.067465889,-2.749963324,43,1.35E-129,6.73E-129
67,NA,NA,NH White,HSG/GED,0.080620985,0.165455314,-0.815754342,753,7.04E-108,2.20E-107
68,NA,NA,NH White,Some college/TS,0.218094218,0.235255035,-0.097934869,2037,9.23E-05,9.61E-05
69,NA,NA,NH White,>=College grad,0.275267666,0.181941826,0.535188018,2571,7.07E-121,2.52E-120
70,NA,NA,Other,<HSG,0.000107066,0.003131134,-3.378730563,1,1.27E-11,1.51E-11
71,NA,NA,Other,HSG/GED,0.000963597,0.008302768,-2.161043971,9,5.43E-15,8.48E-15
72,NA,NA,Other,Some college/TS,0.002783726,0.023826489,-2.168334974,26,1.45E-40,2.60E-40
73,NA,NA,Other,>=College grad,0.003319058,0.0111271,-1.217567544,31,6.30E-13,8.76E-13
74,NA,18-39,NA,<HSG,0,0.022823926,#NAME?,0,#NAME?,#NAME?
75,NA,18-39,NA,HSG/GED,0,0.030337037,#NAME?,0,#NAME?,#NAME?
76,NA,18-39,NA,Some college/TS,0,0.052220342,#NAME?,0,#NAME?,#NAME?
77,NA,18-39,NA,>=College grad,0,0.033869688,#NAME?,0,#NAME?,#NAME?
78,NA,40-59,NA,<HSG,0.0023542,0.054992597,-3.205203107,22,2.29E-110,3.12E-110
79,NA,40-59,NA,HSG/GED,0.039486356,0.084675362,-0.811058855,369,1.74E-55,2.17E-55
80,NA,40-59,NA,Some college/TS,0.100053505,0.132007395,-0.313304973,935,7.14E-20,8.24E-20
81,NA,40-59,NA,>=College grad,0.069341894,0.088858522,-0.269189997,648,3.34E-11,3.58E-11
82,NA,59+,NA,<HSG,0.016800428,0.088367401,-1.735673838,157,3.14E-131,4.71E-131
83,NA,59+,NA,HSG/GED,0.123167469,0.122717738,0.004170831,1151,0.894588087,0.894588087
84,NA,59+,NA,Some college/TS,0.318566078,0.161467166,0.88698256,2977,0,0
85,NA,59+,NA,>=College grad,0.33023007,0.127662826,1.214638728,3086,0,0
86,Male,18-39,Hispanic,NA,0,0.016523985,#NAME?,0,#NAME?,#NAME?
87,Male,40-59,Hispanic,NA,0.018811458,0.022843658,-0.198325371,176,0.009041209,0.009493269
88,Male,59+,Hispanic,NA,0.038050449,0.018497649,0.741391667,356,9.36E-45,1.64E-44
89,Male,18-39,NH Asian,NA,0,0.005394702,#NAME?,0,#NAME?,#NAME?
90,Male,40-59,NH Asian,NA,0.00096195,0.006853142,-1.969414867,9,4.95E-12,6.11E-12
91,Male,59+,NH Asian,NA,0.004489098,0.009302498,-0.733478008,42,1.24E-06,1.33E-06
92,Male,18-39,NH Black,NA,0,0.011854537,#NAME?,0,#NAME?,#NAME?
93,Male,40-59,NH Black,NA,0.062954254,0.025762593,0.932407686,589,3.80E-114,8.41E-114
94,Male,59+,NH Black,NA,0.101432236,0.021402686,1.641192641,949,0,0
95,Male,18-39,NH White,NA,0,0.044195101,#NAME?,0,#NAME?,#NAME?
96,Male,40-59,NH White,NA,0.057503206,0.127204722,-0.870788557,538,4.93E-91,1.03E-90
97,Male,59+,NH White,NA,0.354531851,0.148510613,1.14715294,3317,0,0
98,Male,18-39,Other,NA,0,0.002918724,#NAME?,0,#NAME?,#NAME?
99,Male,40-59,Other,NA,0.001603249,0.006649052,-1.427508713,15,1.91E-09,2.23E-09
100,Male,59+,Other,NA,0.003634032,0.010617839,-1.079226797,34,4.38E-11,5.25E-11
101,Female,18-39,Hispanic,NA,0,0.010308391,#NAME?,0,#NAME?,#NAME?
102,Female,40-59,Hispanic,NA,0.013146644,0.02615212,-0.701030094,123,3.21E-15,4.21E-15
103,Female,59+,Hispanic,NA,0.035271484,0.026625823,0.290115127,330,2.05E-07,2.27E-07
104,Female,18-39,NH Asian,NA,0,0.00171318,#NAME?,0,#NAME?,#NAME?
105,Female,40-59,NH Asian,NA,0.000106883,0.007187303,-4.215440184,1,6.70E-28,1.04E-27
106,Female,59+,NH Asian,NA,0.002885849,0.011280838,-1.371741456,27,1.49E-14,1.89E-14
107,Female,18-39,NH Black,NA,0,0.014911328,#NAME?,0,#NAME?,#NAME?
108,Female,40-59,NH Black,NA,0.041043181,0.036479349,0.12262627,384,0.018541683,0.018993919
109,Female,59+,NH Black,NA,0.095339889,0.031481932,1.176242324,892,4.40E-274,1.32E-273
110,Female,18-39,NH White,NA,0,0.027105874,#NAME?,0,#NAME?,#NAME?
111,Female,40-59,NH White,NA,0.014108593,0.091229914,-1.948052859,132,5.50E-148,1.28E-147
112,Female,59+,NH White,NA,0.152094912,0.210333019,-0.395344724,1423,1.87E-43,3.15E-43
113,Female,18-39,Other,NA,0,0.005900732,#NAME?,0,#NAME?,#NAME?
114,Female,40-59,Other,NA,0.000748183,0.009318635,-2.530737697,7,6.25E-18,8.47E-18
115,Female,59+,Other,NA,0.001282599,0.011440061,-2.198455066,12,2.49E-20,3.49E-20
116,Male,18-39,NA,<HSG,0,0.012637473,#NAME?,0,#NAME?,#NAME?
117,Male,18-39,NA,HSG/GED,0,0.017724058,#NAME?,0,#NAME?,#NAME?
118,Male,18-39,NA,Some college/TS,0,0.030347482,#NAME?,0,#NAME?,#NAME?
119,Male,18-39,NA,>=College grad,0,0.019508196,#NAME?,0,#NAME?,#NAME?
120,Male,40-59,NA,<HSG,0.001391118,0.028036598,-3.030447855,13,6.88E-55,1.16E-54
121,Male,40-59,NA,HSG/GED,0.026538256,0.050613577,-0.670675179,248,2.48E-26,3.05E-26
122,Male,40-59,NA,Some college/TS,0.065489567,0.061947179,0.059392237,612,0.155443076,0.165805947
123,Male,40-59,NA,>=College grad,0.048689139,0.049164987,-0.010226071,455,0.831518891,0.831518891
124,Male,59+,NA,<HSG,0.008560728,0.03331681,-1.384163769,80,1.45E-40,2.10E-40
125,Male,59+,NA,HSG/GED,0.072124131,0.047843501,0.436284827,674,3.94E-28,5.04E-28
126,Male,59+,NA,Some college/TS,0.192616372,0.058074294,1.353104859,1800,0,0
127,Male,59+,NA,>=College grad,0.229213483,0.069273357,1.385147608,2142,0,0
128,Female,18-39,NA,<HSG,0,0.010186453,#NAME?,0,#NAME?,#NAME?
129,Female,18-39,NA,HSG/GED,0,0.012612979,#NAME?,0,#NAME?,#NAME?
130,Female,18-39,NA,Some college/TS,0,0.02187286,#NAME?,0,#NAME?,#NAME?
131,Female,18-39,NA,>=College grad,0,0.014361492,#NAME?,0,#NAME?,#NAME?
132,Female,40-59,NA,<HSG,0.000963082,0.026955998,-3.358185136,9,2.75E-54,4.40E-54
133,Female,40-59,NA,HSG/GED,0.012948101,0.034061783,-0.988849677,121,2.25E-29,3.00E-29
134,Female,40-59,NA,Some college/TS,0.034563938,0.070060214,-0.744004233,323,3.37E-41,5.13E-41
135,Female,40-59,NA,>=College grad,0.020652755,0.039693534,-0.672973349,193,4.19E-21,4.96E-21
136,Female,59+,NA,<HSG,0.0082397,0.055050603,-1.947638899,77,1.33E-87,2.51E-87
137,Female,59+,NA,HSG/GED,0.051043339,0.074874222,-0.408568048,477,2.08E-18,2.37E-18
138,Female,59+,NA,Some college/TS,0.125949706,0.10339287,0.22282653,1177,7.96E-13,8.79E-13
139,Female,59+,NA,>=College grad,0.101016586,0.05838948,0.594476129,944,3.89E-69,6.92E-69
140,Male,NA,Hispanic,<HSG,0.002783726,0.024989232,-2.217173892,26,5.21E-43,1.29E-42
141,Male,NA,Hispanic,HSG/GED,0.00856531,0.012048522,-0.344741125,80,0.002032439,0.002201809
142,Male,NA,Hispanic,Some college/TS,0.021841542,0.014078815,0.44704733,204,1.92E-10,2.70E-10
143,Male,NA,Hispanic,>=College grad,0.023768737,0.006743763,1.277042201,222,6.84E-90,2.73E-89
144,Male,NA,NH Asian,<HSG,0,0.005585958,#NAME?,0,#NAME?,#NAME?
145,Male,NA,NH Asian,HSG/GED,0.000107066,0.003186632,-3.396355431,1,5.84E-12,8.68E-12
146,Male,NA,NH Asian,Some college/TS,0.000963597,0.002847929,-1.085561514,9,0.000632413,0.000699691
147,Male,NA,NH Asian,>=College grad,0.004389722,0.009719628,-0.800249326,41,1.52E-07,1.75E-07
148,Male,NA,NH Black,<HSG,0.003319058,0.011268782,-1.230363497,31,3.37E-13,5.16E-13
149,Male,NA,NH Black,HSG/GED,0.036616702,0.018285095,0.713267814,342,6.46E-40,1.46E-39
150,Male,NA,NH Black,Some college/TS,0.085010707,0.019710697,1.530551106,794,0,0
151,Male,NA,NH Black,>=College grad,0.039507495,0.009501163,1.455838689,369,2.42E-196,1.26E-195
152,Male,NA,NH White,<HSG,0.003747323,0.029728848,-2.09750141,35,1.85E-49,5.06E-49
153,Male,NA,NH White,HSG/GED,0.052783726,0.078078245,-0.418575639,493,8.13E-20,1.36E-19
154,Male,NA,NH White,Some college/TS,0.148394004,0.106281482,0.382046757,1386,8.15E-40,1.77E-39
155,Male,NA,NH White,>=College grad,0.207601713,0.106580876,0.786708966,1939,1.09E-219,6.29E-219
156,Male,NA,Other,<HSG,0.000107066,0.00241805,-3.119581407,1,9.13E-09,1.13E-08
157,Male,NA,Other,HSG/GED,0.000642398,0.004582656,-1.968776088,6,1.72E-08,2.08E-08
158,Male,NA,Other,Some college/TS,0.001927195,0.007450034,-1.357702013,18,5.40E-10,7.20E-10
159,Male,NA,Other,>=College grad,0.002462527,0.005401111,-0.788366871,23,0.000106725,0.000120646
160,Female,NA,Hispanic,<HSG,0.004925054,0.030391782,-1.845763078,46,1.28E-46,3.32E-46
161,Female,NA,Hispanic,HSG/GED,0.008993576,0.011307062,-0.231254107,84,0.034461396,0.035839852
162,Female,NA,Hispanic,Some college/TS,0.015203426,0.013953545,0.087055553,142,0.303105949,0.309049202
163,Female,NA,Hispanic,>=College grad,0.019164882,0.007283885,0.979455581,179,1.50E-41,3.55E-41
164,Female,NA,NH Asian,<HSG,0,0.00522078,#NAME?,0,#NAME?,#NAME?
165,Female,NA,NH Asian,HSG/GED,0.000428266,0.002946683,-1.93121486,4,5.45E-08,6.44E-08
166,Female,NA,NH Asian,Some college/TS,0.000428266,0.004852829,-2.432010003,4,7.62E-15,1.20E-14
167,Female,NA,NH Asian,>=College grad,0.002141328,0.007208911,-1.218983244,20,7.08E-09,8.98E-09
168,Female,NA,NH Black,<HSG,0.003426124,0.018130367,-1.681023362,32,1.73E-26,3.10E-26
169,Female,NA,NH Black,HSG/GED,0.026445396,0.016198064,0.500661028,247,4.33E-15,7.03E-15
170,Female,NA,NH Black,Some college/TS,0.074411135,0.031169568,0.915822814,695,8.68E-128,4.10E-127
171,Female,NA,NH Black,>=College grad,0.031798715,0.016864775,0.64950541,297,3.70E-29,7.13E-29
172,Female,NA,NH White,<HSG,0.000856531,0.037737041,-3.823117455,8,4.57E-78,1.49E-77
173,Female,NA,NH White,HSG/GED,0.027837259,0.087377066,-1.207057886,260,2.69E-92,1.16E-91
174,Female,NA,NH White,Some college/TS,0.069700214,0.12897355,-0.681238496,651,1.73E-65,5.30E-65
175,Female,NA,NH White,>=College grad,0.067665953,0.075360947,-0.115993776,632,0.004843969,0.005140539
176,Female,NA,Other,<HSG,0,0.000713071,#NAME?,0,#NAME?,#NAME?
177,Female,NA,Other,HSG/GED,0.000321199,0.003720112,-2.452853483,3,1.17E-11,1.70E-11
178,Female,NA,Other,Some college/TS,0.000856531,0.016376454,-2.966364421,8,3.16E-32,6.31E-32
179,Female,NA,Other,>=College grad,0.000856531,0.005725989,-1.9047656,8,4.46E-10,6.10E-10
180,NA,18-39,Hispanic,<HSG,0,0.009590094,#NAME?,0,#NAME?,#NAME?
181,NA,18-39,Hispanic,HSG/GED,0,0.007573085,#NAME?,0,#NAME?,#NAME?
182,NA,18-39,Hispanic,Some college/TS,0,0.006850084,#NAME?,0,#NAME?,#NAME?
183,NA,18-39,Hispanic,>=College grad,0,0.00272835,#NAME?,0,#NAME?,#NAME?
184,NA,18-39,NH Asian,<HSG,0,0.000786672,#NAME?,0,#NAME?,#NAME?
185,NA,18-39,NH Asian,HSG/GED,0,0.000559043,#NAME?,0,#NAME?,#NAME?
186,NA,18-39,NH Asian,Some college/TS,0,0.001220394,#NAME?,0,#NAME?,#NAME?
187,NA,18-39,NH Asian,>=College grad,0,0.004297298,#NAME?,0,#NAME?,#NAME?
188,NA,18-39,NH Black,<HSG,0,0.004776402,#NAME?,0,#NAME?,#NAME?
189,NA,18-39,NH Black,HSG/GED,0,0.004499786,#NAME?,0,#NAME?,#NAME?
190,NA,18-39,NH Black,Some college/TS,0,0.012235059,#NAME?,0,#NAME?,#NAME?
191,NA,18-39,NH Black,>=College grad,0,0.004392871,#NAME?,0,#NAME?,#NAME?
192,NA,18-39,NH White,<HSG,0,0.006855075,#NAME?,0,#NAME?,#NAME?
193,NA,18-39,NH White,HSG/GED,0,0.016780664,#NAME?,0,#NAME?,#NAME?
194,NA,18-39,NH White,Some college/TS,0,0.027412114,#NAME?,0,#NAME?,#NAME?
195,NA,18-39,NH White,>=College grad,0,0.020422289,#NAME?,0,#NAME?,#NAME?
196,NA,18-39,Other,<HSG,0,0.000815669,#NAME?,0,#NAME?,#NAME?
197,NA,18-39,Other,HSG/GED,0,0.000924446,#NAME?,0,#NAME?,#NAME?
198,NA,18-39,Other,Some college/TS,0,0.004502677,#NAME?,0,#NAME?,#NAME?
199,NA,18-39,Other,>=College grad,0,0.002028893,#NAME?,0,#NAME?,#NAME?
200,NA,40-59,Hispanic,<HSG,0.000963597,0.020660587,-3.085222494,9,7.66E-41,1.22E-40
201,NA,40-59,Hispanic,HSG/GED,0.004175589,0.007820494,-0.631159229,39,6.36E-05,6.71E-05
202,NA,40-59,Hispanic,Some college/TS,0.011670236,0.014019804,-0.185809438,109,0.053442232,0.054136287
203,NA,40-59,Hispanic,>=College grad,0.015203426,0.006611139,0.841451932,142,1.22E-24,1.71E-24
204,NA,40-59,NH Asian,<HSG,0,0.002520581,#NAME?,0,#NAME?,#NAME?
205,NA,40-59,NH Asian,HSG/GED,0,0.002363516,#NAME?,0,#NAME?,#NAME?
206,NA,40-59,NH Asian,Some college/TS,0.000321199,0.002745582,-2.14811516,3,4.95E-08,5.68E-08
207,NA,40-59,NH Asian,>=College grad,0.000749465,0.006444078,-2.157272914,7,6.07E-12,7.28E-12
208,NA,40-59,NH Black,<HSG,0.001070664,0.008560159,-2.086365682,10,3.94E-15,5.03E-15
209,NA,40-59,NH Black,HSG/GED,0.024946467,0.018265117,0.318568063,233,1.42E-06,1.61E-06
210,NA,40-59,NH Black,Some college/TS,0.056745182,0.021112795,1.025771478,530,8.38E-127,1.63E-126
211,NA,40-59,NH Black,>=College grad,0.021199143,0.014451558,0.3900286,198,4.65E-08,5.41E-08
212,NA,40-59,NH White,<HSG,0.000214133,0.022046193,-4.656377685,2,1.59E-86,2.88E-86
213,NA,40-59,NH White,HSG/GED,0.009850107,0.053144471,-1.730241553,92,1.21E-77,2.05E-77
214,NA,40-59,NH White,Some college/TS,0.030620985,0.086737145,-1.100828599,286,9.77E-83,1.69E-82
215,NA,40-59,NH White,>=College grad,0.031049251,0.05702508,-0.635090608,290,2.60E-27,3.82E-27
216,NA,40-59,Other,<HSG,0.000107066,0.001205077,-2.421948184,1,0.000273505,0.000284445
217,NA,40-59,Other,HSG/GED,0.000535332,0.003081763,-1.752921341,5,9.00E-06,9.75E-06
218,NA,40-59,Other,Some college/TS,0.000642398,0.007392067,-2.44973116,6,2.63E-14,3.26E-14
219,NA,40-59,Other,>=College grad,0.001070664,0.004326664,-1.399782825,10,1.63E-06,1.82E-06
220,NA,59+,Hispanic,<HSG,0.006745182,0.025130333,-1.333930586,63,7.26E-30,1.11E-29
221,NA,59+,Hispanic,HSG/GED,0.013383298,0.007962018,0.524804829,125,3.74E-09,4.42E-09
222,NA,59+,Hispanic,Some college/TS,0.025374732,0.007162458,1.283414666,237,9.59E-97,1.78E-96
223,NA,59+,Hispanic,>=College grad,0.027730193,0.004688171,1.800901944,259,4.15E-233,8.75E-233
224,NA,59+,NH Asian,<HSG,0,0.007499484,#NAME?,0,#NAME?,#NAME?
225,NA,59+,NH Asian,HSG/GED,0.000535332,0.003210743,-1.794051119,5,4.87E-06,5.35E-06
226,NA,59+,NH Asian,Some college/TS,0.001070664,0.003734782,-1.252081071,10,2.43E-05,2.60E-05
227,NA,59+,NH Asian,>=College grad,0.005781585,0.006187162,-0.068206793,54,0.617172683,0.617172683
228,NA,59+,NH Black,<HSG,0.005674518,0.016062588,-1.051009479,53,1.40E-15,1.82E-15
229,NA,59+,NH Black,HSG/GED,0.038115632,0.011718243,1.206551206,356,3.11E-124,5.91E-124
230,NA,59+,NH Black,Some college/TS,0.10267666,0.017532411,1.85818471,959,0,0
231,NA,59+,NH Black,>=College grad,0.050107066,0.007521509,1.940251307,468,0,0
232,NA,59+,NH White,<HSG,0.004389722,0.038564619,-2.207997982,41,6.03E-66,1.00E-65
233,NA,59+,NH White,HSG/GED,0.070770878,0.095530175,-0.327000975,661,3.94E-16,5.21E-16
234,NA,59+,NH White,Some college/TS,0.187473233,0.12110577,0.515487489,1751,4.77E-86,8.46E-86
235,NA,59+,NH White,>=College grad,0.244218415,0.104494464,1.018564851,2281,0,0
236,NA,59+,Other,<HSG,0,0.001110389,#NAME?,0,#NAME?,#NAME?
237,NA,59+,Other,HSG/GED,0.000428266,0.004296558,-2.309703681,4,1.06E-12,1.29E-12
238,NA,59+,Other,Some college/TS,0.002141328,0.011931743,-1.727636207,20,2.93E-18,3.94E-18
239,NA,59+,Other,>=College grad,0.002248394,0.004771543,-0.754985641,21,0.000402328,0.000412916
240,Male,18-39,Hispanic,<HSG,0,0.006303479,#NAME?,0,#NAME?,#NAME?
241,Male,18-39,Hispanic,HSG/GED,0,0.004277082,#NAME?,0,#NAME?,#NAME?
242,Male,18-39,Hispanic,Some college/TS,0,0.004183741,#NAME?,0,#NAME?,#NAME?
243,Male,18-39,Hispanic,>=College grad,0,0.001798887,#NAME?,0,#NAME?,#NAME?
244,Male,18-39,NH Asian,<HSG,0,0.000545786,#NAME?,0,#NAME?,#NAME?
245,Male,18-39,NH Asian,HSG/GED,0,0.000286943,#NAME?,0,#NAME?,#NAME?
246,Male,18-39,NH Asian,Some college/TS,0,0.000676918,#NAME?,0,#NAME?,#NAME?
247,Male,18-39,NH Asian,>=College grad,0,0.003636529,#NAME?,0,#NAME?,#NAME?
248,Male,18-39,NH Black,<HSG,0,0.002215073,#NAME?,0,#NAME?,#NAME?
249,Male,18-39,NH Black,HSG/GED,0,0.00220315,#NAME?,0,#NAME?,#NAME?
250,Male,18-39,NH Black,Some college/TS,0,0.004696002,#NAME?,0,#NAME?,#NAME?
251,Male,18-39,NH Black,>=College grad,0,0.002549657,#NAME?,0,#NAME?,#NAME?
252,Male,18-39,NH White,<HSG,0,0.003232055,#NAME?,0,#NAME?,#NAME?
253,Male,18-39,NH White,HSG/GED,0,0.010956871,#NAME?,0,#NAME?,#NAME?
254,Male,18-39,NH White,Some college/TS,0,0.019385674,#NAME?,0,#NAME?,#NAME?
255,Male,18-39,NH White,>=College grad,0,0.01072536,#NAME?,0,#NAME?,#NAME?
256,Male,18-39,Other,<HSG,0,0.00034108,#NAME?,0,#NAME?,#NAME?
257,Male,18-39,Other,HSG/GED,0,0,-9999999,0,-9999999,-25079362.57
258,Male,18-39,Other,Some college/TS,0,0.001405148,#NAME?,0,#NAME?,#NAME?
259,Male,18-39,Other,>=College grad,0,0.000797764,#NAME?,0,#NAME?,#NAME?
260,Male,40-59,Hispanic,<HSG,0.000214133,0.008848501,-3.730080911,2,5.08E-33,8.45E-33
261,Male,40-59,Hispanic,HSG/GED,0.002569593,0.004526115,-0.568079918,24,0.004848078,0.005282734
262,Male,40-59,Hispanic,Some college/TS,0.007066381,0.006604339,0.068086833,66,0.581435779,0.581435779
263,Male,40-59,Hispanic,>=College grad,0.008993576,0.002918915,1.13140968,84,1.40E-27,2.26E-27
264,Male,40-59,NH Asian,<HSG,0,0.001463538,#NAME?,0,#NAME?,#NAME?
265,Male,40-59,NH Asian,HSG/GED,0,0.001332855,#NAME?,0,#NAME?,#NAME?
266,Male,40-59,NH Asian,Some college/TS,0.000321199,0.000738054,-0.832372805,3,0.178464567,0.18310001
267,Male,40-59,NH Asian,>=College grad,0.000642398,0.003334956,-1.649704143,6,6.37E-06,7.69E-06
268,Male,40-59,NH Black,<HSG,0.000856531,0.003612088,-1.441912317,8,9.04E-06,1.08E-05
269,Male,40-59,NH Black,HSG/GED,0.015524625,0.009982222,0.447235782,145,7.12E-08,9.15E-08
270,Male,40-59,NH Black,Some college/TS,0.033940043,0.008534873,1.40639292,317,6.05E-157,1.24E-156
271,Male,40-59,NH Black,>=College grad,0.012740899,0.003694535,1.247083875,119,4.46E-47,7.92E-47
272,Male,40-59,NH White,<HSG,0.000214133,0.012907396,-4.111736808,2,2.92E-49,5.29E-49
273,Male,40-59,NH White,HSG/GED,0.008137045,0.03253863,-1.410910355,76,2.59E-40,4.40E-40
274,Male,40-59,NH White,Some college/TS,0.02366167,0.043780238,-0.63614749,221,2.04E-21,3.20E-21
275,Male,40-59,NH White,>=College grad,0.025588865,0.038280266,-0.415887478,239,1.63E-10,2.17E-10
